,Country,Year,% Plastic in waste stream4,Plastic pollution by year,Value_x,Value_y,plastic pollution per millions of people
96,Estonia,2000,47.79999999999999,71.84459499999997,601.2099999999999,1.396985,51.428322422932226
97,Estonia,2001,47.79999999999999,48.209884999999986,403.43,1.388115,34.730469017336446
98,Estonia,2002,47.79999999999999,50.131444999999985,419.51,1.37935,36.344252727734066
99,Estonia,2003,47.79999999999999,44.39663999999999,371.52,1.37072,32.38928446363954
100,Estonia,2004,47.79999999999999,45.790009999999995,383.18,1.36255,33.6061135371179
101,Estonia,2005,47.79999999999999,44.16719999999999,369.59999999999997,1.354775,32.60113302946983
102,Estonia,2006,47.79999999999999,44.69897499999999,374.04999999999995,1.34681,33.18877569961612
103,Estonia,2007,47.79999999999999,46.79859,391.62,1.34068,34.90660709490706
104,Estonia,2008,47.79999999999999,39.895074999999984,333.85,1.33709,29.837239826788014
105,Estonia,2009,47.79999999999999,34.358639999999994,287.52,1.334515,25.746162463516704
106,Estonia,2010,47.79999999999999,31.908889999999992,267.02,1.331475,23.965068814660427
107,Estonia,2011,47.79999999999999,28.565279999999998,239.04,1.327439,21.519090519413695
108,Estonia,2012,47.79999999999999,20.986589999999996,175.62,1.322696,15.86652564156843
109,Estonia,2013,47.79999999999999,31.913669999999996,267.06,1.317997,24.213765281711563
110,Estonia,2014,47.79999999999999,30.115194999999993,252.01,1.314545,22.909215736243333
111,Estonia,2015,47.79999999999999,33.13376499999999,277.27,1.314608,25.20429283862565
112,Estonia,2016,47.79999999999999,34.93701999999999,292.36,1.31579,26.55212457915016
113,Estonia,2017,47.79999999999999,37.741685,315.83,1.317384,28.648962641112988
114,Estonia,2018,47.79999999999999,40.165144999999995,336.11,1.321977,30.382635250083773
115,Estonia,2019,35.849999999999994,10.150449499999999,84.941,1.326855,7.650006594541227
116,Finland,2000,21.899999999999995,202.57499999999996,1850.0,5.176203,39.13582987375108
117,Finland,2001,32.849999999999994,184.94549999999995,1689.0,5.188005,35.648674201354844
118,Finland,2002,32.849999999999994,191.99839499999996,1753.4099999999999,5.200598,36.91852263912726
119,Finland,2003,32.849999999999994,192.23381999999995,1755.56,5.21301,36.87578193788233
120,Finland,2004,32.849999999999994,192.65101499999994,1759.37,5.228173,36.848630487170176
121,Finland,2005,32.849999999999994,192.21191999999996,1755.36,5.2461,36.63901183736489
122,Finland,2006,32.849999999999994,194.92642499999997,1780.15,5.266266,37.01416240653244
123,Finland,2007,32.849999999999994,196.67185499999994,1796.0900000000001,5.288719,37.187049453752394
124,Finland,2008,32.849999999999994,220.61512499999992,2014.7499999999998,5.313398,41.52053450541441
125,Finland,2009,32.849999999999994,192.36631499999996,1756.77,5.338867,36.03129933748115
126,Finland,2010,32.849999999999994,197.86649999999997,1807.0,5.363341,36.89239598973848
127,Finland,2011,32.849999999999994,193.92449999999997,1771.0,5.388272,35.990109630694214
128,Finland,2012,32.849999999999994,199.94699999999995,1826.0,5.413967,36.93169906650704
